object x y z rx ry rz quality dofValue
024_bowl -0.0844 -0.0441 0.0250088 180 0 0 0.6 0.05
024_bowl -0.0794 -0.0181 0.0250088 180 0 20 0.6 0.05
024_bowl -0.0644 0.0048 0.0250088 180 0 30 0.6 0.05
024_bowl -0.0444 0.0191 0.0250088 180 0 60 0.6 0.05
024_bowl -0.0244 0.0251 0.0250088 180 0 80 0.6 0.05
024_bowl -0.0044 0.0191 0.0250088 180 0 100 0.6 0.05
024_bowl 0.0156 0.0191 0.0250088 180 0 120 0.6 0.05
024_bowl 0.0356 0.0048 0.0250088 180 0 140 0.6 0.05
024_bowl 0.0506 -0.0181 0.0250088 180 0 160 0.6 0.05
024_bowl -0.0794 -0.0700 0.0250088 180 0 -20 0.6 0.05
024_bowl -0.0644 -0.0930 0.0250088 180 0 -30 0.6 0.05
024_bowl -0.0444 -0.1073 0.0250088 180 0 -60 0.6 0.05
024_bowl -0.0244 -0.1133 0.0250088 180 0 -80 0.6 0.05
024_bowl -0.0044 -0.1133 0.0250088 180 0 -100 0.6 0.05
024_bowl 0.0156 -0.1073 0.0250088 180 0 -120 0.6 0.05
024_bowl 0.0356 -0.0930 0.0250088 180 0 -140 0.6 0.05
024_bowl 0.0506 -0.0700 0.0250088 180 0 -160 0.6 0.05
024_bowl 0.0556 -0.0441 0.0250088 180 0 -180 0.6 0.05
